,state,action_space,reward,Q,action
749,"[0, 1]",u,0,0.0,0
750,"[0, 0]",d,0,0.0,1
751,"[0, 1]",r,0,0.0,2
752,"[1, 1]",l,0,0.0,3
753,"[0, 1]",l,0,0.0,3
754,"[0, 1]",r,0,0.0,2
755,"[1, 1]",u,0,0.0,0
756,"[1, 0]",l,0,0.0,3
757,"[0, 0]",l,0,0.0,3
758,"[0, 0]",l,0,0.0,3
759,"[0, 0]",l,0,0.0,3
760,"[0, 0]",l,0,0.0,3
761,"[0, 0]",l,0,0.0,3
762,"[0, 0]",u,0,0.0,0
763,"[0, 0]",d,0,0.0,1
764,"[0, 1]",l,0,0.0,3
765,"[0, 1]",l,0,0.0,3
766,"[0, 1]",u,0,0.0,0
767,"[0, 0]",d,0,0.0,1
768,"[0, 1]",l,0,0.0,3
769,"[0, 1]",r,0,0.0,2
770,"[1, 1]",u,0,0.0,0
771,"[1, 0]",l,0,0.0,3
772,"[0, 0]",l,0,0.0,3
773,"[0, 0]",u,0,0.0,0
774,"[0, 0]",l,0,0.0,3
775,"[0, 0]",d,0,0.0,1
776,"[0, 1]",u,0,0.0,0
777,"[0, 0]",u,0,0.0,0
778,"[0, 0]",u,0,0.0,0
779,"[0, 0]",u,0,0.0,0
780,"[0, 0]",l,0,0.0,3
781,"[0, 0]",d,0,0.0,1
782,"[0, 1]",u,0,0.0,0
783,"[0, 0]",u,0,0.0,0
784,"[0, 0]",d,0,0.0,1
785,"[0, 1]",l,0,0.0,3
786,"[0, 1]",r,0,0.0,2
787,"[1, 1]",l,0,0.0,3
788,"[0, 1]",l,0,0.0,3
789,"[0, 1]",r,0,0.0,2
790,"[1, 1]",r,0,0.0,2
791,"[2, 1]",l,0,0.0,3
792,"[1, 1]",u,0,0.0,0
793,"[1, 0]",r,0,0.0,2
794,"[2, 0]",l,0,0.0,3
795,"[1, 0]",l,0,0.0,3
796,"[0, 0]",r,0,0.0,2
797,"[1, 0]",u,0,0.0,0
798,"[1, 0]",l,0,0.0,3
799,"[0, 0]",u,0,0.0,0
800,"[0, 0]",d,0,0.0,1
801,"[0, 1]",d,-1,-0.029701,1
802,"[0, 0]",r,0,0.0,2
803,"[1, 0]",d,0,0.0,1
804,"[1, 1]",l,0,0.0,3
805,"[0, 1]",u,0,0.0,0
806,"[0, 0]",d,0,0.0,1
807,"[0, 1]",l,0,0.0,3
808,"[0, 1]",l,0,0.0,3
