,state,action_space,reward,Q,action
0,"[0, 0]",d,0,0.0,1
1,"[0, 1]",d,-1,-0.01,1
2,"[0, 0]",d,0,0.0,1
3,"[0, 1]",u,0,0.0,0
4,"[0, 0]",l,0,0.0,3
5,"[0, 0]",r,0,0.0,2
6,"[1, 0]",d,0,0.0,1
7,"[1, 1]",r,0,0.0,2
8,"[2, 1]",u,0,0.0,0
9,"[2, 0]",r,-1,-0.01,2
10,"[0, 0]",r,0,0.0,2
11,"[1, 0]",u,0,0.0,0
12,"[1, 0]",d,0,0.0,1
13,"[1, 1]",d,-1,-0.01,1
14,"[0, 0]",r,0,0.0,2
15,"[1, 0]",d,0,0.0,1
16,"[1, 1]",u,0,0.0,0
17,"[1, 0]",d,0,0.0,1
18,"[1, 1]",l,0,0.0,3
19,"[0, 1]",l,0,0.0,3
20,"[0, 1]",l,0,0.0,3
21,"[0, 1]",r,0,0.0,2
22,"[1, 1]",l,0,0.0,3
23,"[0, 1]",r,0,0.0,2
24,"[1, 1]",r,0,0.0,2
25,"[2, 1]",l,0,0.0,3
26,"[1, 1]",u,0,0.0,0
27,"[1, 0]",d,0,0.0,1
28,"[1, 1]",r,0,0.0,2
29,"[2, 1]",u,0,0.0,0
30,"[2, 0]",d,0,0.0,1
31,"[2, 1]",d,0,0.0,1
32,"[2, 2]",d,0,0.0,1
33,"[2, 3]",r,0,0.0,2
34,"[3, 3]",l,0,0.0,3
35,"[2, 3]",u,0,0.0,0
36,"[2, 2]",u,0,0.0,0
37,"[2, 1]",r,-1,-0.01,2
38,"[0, 0]",d,0,0.0,1
39,"[0, 1]",l,0,0.0,3
40,"[0, 1]",r,0,0.0,2
41,"[1, 1]",u,0,0.0,0
42,"[1, 0]",l,0,0.0,3
43,"[0, 0]",d,0,0.0,1
44,"[0, 1]",r,0,0.0,2
45,"[1, 1]",l,0,0.0,3
46,"[0, 1]",r,0,0.0,2
47,"[1, 1]",l,0,0.0,3
48,"[0, 1]",u,0,0.0,0
49,"[0, 0]",u,0,0.0,0
50,"[0, 0]",d,0,0.0,1
51,"[0, 1]",u,0,0.0,0
52,"[0, 0]",d,0,0.0,1
53,"[0, 1]",u,0,0.0,0
54,"[0, 0]",l,0,0.0,3
55,"[0, 0]",d,0,0.0,1
56,"[0, 1]",u,0,0.0,0
57,"[0, 0]",l,0,0.0,3
58,"[0, 0]",d,0,0.0,1
59,"[0, 1]",u,0,0.0,0
60,"[0, 0]",r,0,0.0,2
61,"[1, 0]",r,0,0.0,2
62,"[2, 0]",d,0,0.0,1
63,"[2, 1]",l,0,0.0,3
64,"[1, 1]",r,0,0.0,2
65,"[2, 1]",u,0,0.0,0
66,"[2, 0]",d,0,0.0,1
67,"[2, 1]",l,0,0.0,3
68,"[1, 1]",l,0,0.0,3
69,"[0, 1]",l,0,0.0,3
70,"[0, 1]",u,0,0.0,0
71,"[0, 0]",u,0,0.0,0
72,"[0, 0]",d,0,0.0,1
73,"[0, 1]",l,0,0.0,3
74,"[0, 1]",l,0,0.0,3
75,"[0, 1]",u,0,0.0,0
76,"[0, 0]",u,0,0.0,0
77,"[0, 0]",u,0,0.0,0
78,"[0, 0]",u,0,0.0,0
79,"[0, 0]",u,0,0.0,0
80,"[0, 0]",r,0,0.0,2
81,"[1, 0]",d,0,0.0,1
82,"[1, 1]",u,0,0.0,0
83,"[1, 0]",r,0,0.0,2
84,"[2, 0]",u,0,0.0,0
85,"[2, 0]",d,0,0.0,1
86,"[2, 1]",l,0,0.0,3
87,"[1, 1]",u,0,0.0,0
88,"[1, 0]",d,0,0.0,1
89,"[1, 1]",r,0,0.0,2
90,"[2, 1]",l,0,0.0,3
91,"[1, 1]",u,0,0.0,0
92,"[1, 0]",l,0,0.0,3
93,"[0, 0]",u,0,0.0,0
94,"[0, 0]",d,0,0.0,1
95,"[0, 1]",u,0,0.0,0
96,"[0, 0]",r,0,0.0,2
97,"[1, 0]",l,0,0.0,3
98,"[0, 0]",u,0,0.0,0
99,"[0, 0]",u,0,0.0,0
100,"[0, 0]",l,0,0.0,3
101,"[0, 0]",l,0,0.0,3
102,"[0, 0]",u,0,0.0,0
103,"[0, 0]",l,0,0.0,3
104,"[0, 0]",r,0,0.0,2
105,"[1, 0]",l,0,0.0,3
106,"[0, 0]",r,0,0.0,2
107,"[1, 0]",u,0,0.0,0
108,"[1, 0]",d,0,0.0,1
109,"[1, 1]",r,0,0.0,2
110,"[2, 1]",d,0,0.0,1
111,"[2, 2]",l,-1,-0.01,3
112,"[0, 0]",r,0,0.0,2
113,"[1, 0]",u,0,0.0,0
114,"[1, 0]",u,0,0.0,0
115,"[1, 0]",u,0,0.0,0
116,"[1, 0]",l,0,0.0,3
117,"[0, 0]",r,0,0.0,2
118,"[1, 0]",l,0,0.0,3
119,"[0, 0]",l,0,0.0,3
120,"[0, 0]",r,0,0.0,2
121,"[1, 0]",l,0,0.0,3
122,"[0, 0]",d,0,0.0,1
123,"[0, 1]",r,0,0.0,2
124,"[1, 1]",l,0,0.0,3
125,"[0, 1]",l,0,0.0,3
126,"[0, 1]",r,0,0.0,2
127,"[1, 1]",l,0,0.0,3
128,"[0, 1]",l,0,0.0,3
129,"[0, 1]",l,0,0.0,3
130,"[0, 1]",l,0,0.0,3
131,"[0, 1]",l,0,0.0,3
132,"[0, 1]",l,0,0.0,3
133,"[0, 1]",r,0,0.0,2
134,"[1, 1]",l,0,0.0,3
135,"[0, 1]",r,0,0.0,2
136,"[1, 1]",r,0,0.0,2
137,"[2, 1]",u,0,0.0,0
138,"[2, 0]",u,0,0.0,0
139,"[2, 0]",u,0,0.0,0
140,"[2, 0]",l,0,0.0,3
141,"[1, 0]",r,0,0.0,2
142,"[2, 0]",l,0,0.0,3
143,"[1, 0]",r,0,0.0,2
144,"[2, 0]",d,0,0.0,1
145,"[2, 1]",u,0,0.0,0
146,"[2, 0]",d,0,0.0,1
147,"[2, 1]",d,0,0.0,1
148,"[2, 2]",d,0,0.0,1
149,"[2, 3]",d,-1,-0.01,1
150,"[0, 0]",r,0,0.0,2
151,"[1, 0]",d,0,0.0,1
152,"[1, 1]",r,0,0.0,2
153,"[2, 1]",d,0,0.0,1
154,"[2, 2]",r,0,0.0,2
155,"[3, 2]",l,0,0.0,3
156,"[2, 2]",r,0,0.0,2
157,"[3, 2]",l,0,0.0,3
158,"[2, 2]",d,0,0.0,1
159,"[2, 3]",u,0,0.0,0
160,"[2, 2]",d,0,0.0,1
161,"[2, 3]",r,0,0.0,2
162,"[3, 3]",d,-1,-0.01,1
163,"[0, 0]",u,0,0.0,0
164,"[0, 0]",d,0,0.0,1
165,"[0, 1]",r,0,0.0,2
166,"[1, 1]",r,0,0.0,2
167,"[2, 1]",u,0,0.0,0
168,"[2, 0]",l,0,0.0,3
169,"[1, 0]",r,0,0.0,2
170,"[2, 0]",d,0,0.0,1
171,"[2, 1]",d,0,0.0,1
172,"[2, 2]",r,0,0.0,2
173,"[3, 2]",r,1,0.01,2
174,"[0, 0]",r,0,0.0,2
175,"[1, 0]",u,0,0.0,0
176,"[1, 0]",d,0,0.0,1
177,"[1, 1]",l,0,0.0,3
178,"[0, 1]",r,0,0.0,2
179,"[1, 1]",r,0,0.0,2
180,"[2, 1]",l,0,0.0,3
181,"[1, 1]",r,0,0.0,2
182,"[2, 1]",l,0,0.0,3
183,"[1, 1]",u,0,0.0,0
184,"[1, 0]",l,0,0.0,3
185,"[0, 0]",u,0,0.0,0
186,"[0, 0]",d,0,0.0,1
187,"[0, 1]",r,0,0.0,2
188,"[1, 1]",l,0,0.0,3
189,"[0, 1]",u,0,0.0,0
190,"[0, 0]",r,0,0.0,2
191,"[1, 0]",d,0,0.0,1
192,"[1, 1]",r,0,0.0,2
193,"[2, 1]",u,0,0.0,0
194,"[2, 0]",l,0,0.0,3
195,"[1, 0]",l,0,0.0,3
196,"[0, 0]",l,0,0.0,3
197,"[0, 0]",d,0,0.0,1
198,"[0, 1]",r,0,0.0,2
199,"[1, 1]",l,0,0.0,3
200,"[0, 1]",l,0,0.0,3
201,"[0, 1]",r,0,0.0,2
202,"[1, 1]",u,0,0.0,0
203,"[1, 0]",l,0,0.0,3
204,"[0, 0]",l,0,0.0,3
205,"[0, 0]",d,0,0.0,1
206,"[0, 1]",l,0,0.0,3
207,"[0, 1]",u,0,0.0,0
208,"[0, 0]",l,0,0.0,3
209,"[0, 0]",d,0,0.0,1
210,"[0, 1]",l,0,0.0,3
211,"[0, 1]",r,0,0.0,2
212,"[1, 1]",l,0,-9e-05,3
213,"[0, 1]",d,-1,-0.0199,1
214,"[0, 0]",r,0,0.0,2
215,"[1, 0]",d,0,0.0,1
216,"[1, 1]",r,0,0.0,2
217,"[2, 1]",d,0,0.0,1
218,"[2, 2]",d,0,0.0,1
219,"[2, 3]",r,0,0.0,2
220,"[3, 3]",l,0,0.0,3
221,"[2, 3]",l,0,0.0,3
222,"[1, 3]",l,0,0.0,3
223,"[0, 3]",u,-1,-0.01,0
224,"[0, 0]",u,0,0.0,0
225,"[0, 0]",d,0,0.0,1
226,"[0, 1]",r,0,0.0,2
227,"[1, 1]",r,0,0.0,2
228,"[2, 1]",d,0,0.0,1
229,"[2, 2]",r,0,9e-05,2
230,"[3, 2]",r,1,0.0199,2
231,"[0, 0]",u,0,0.0,0
232,"[0, 0]",u,0,0.0,0
233,"[0, 0]",d,0,0.0,1
234,"[0, 1]",l,0,0.0,3
235,"[0, 1]",r,0,0.0,2
236,"[1, 1]",r,0,0.0,2
237,"[2, 1]",l,0,0.0,3
238,"[1, 1]",u,0,0.0,0
239,"[1, 0]",d,0,0.0,1
240,"[1, 1]",r,0,0.0,2
241,"[2, 1]",u,0,0.0,0
242,"[2, 0]",l,0,0.0,3
243,"[1, 0]",l,0,0.0,3
244,"[0, 0]",d,0,0.0,1
245,"[0, 1]",u,0,0.0,0
246,"[0, 0]",l,0,0.0,3
247,"[0, 0]",u,0,0.0,0
248,"[0, 0]",r,0,0.0,2
249,"[1, 0]",l,0,0.0,3
250,"[0, 0]",u,0,0.0,0
251,"[0, 0]",d,0,0.0,1
252,"[0, 1]",r,0,0.0,2
253,"[1, 1]",u,0,0.0,0
254,"[1, 0]",d,0,0.0,1
255,"[1, 1]",r,0,0.0,2
256,"[2, 1]",u,0,0.0,0
257,"[2, 0]",l,0,0.0,3
258,"[1, 0]",l,0,0.0,3
259,"[0, 0]",u,0,0.0,0
260,"[0, 0]",r,0,0.0,2
261,"[1, 0]",r,0,0.0,2
262,"[2, 0]",d,0,0.0,1
263,"[2, 1]",u,0,0.0,0
264,"[2, 0]",d,0,0.0,1
265,"[2, 1]",l,0,0.0,3
266,"[1, 1]",u,0,0.0,0
267,"[1, 0]",l,0,0.0,3
268,"[0, 0]",u,0,0.0,0
269,"[0, 0]",u,0,0.0,0
270,"[0, 0]",r,0,0.0,2
271,"[1, 0]",d,0,0.0,1
272,"[1, 1]",u,0,0.0,0
273,"[1, 0]",l,0,0.0,3
274,"[0, 0]",u,0,0.0,0
275,"[0, 0]",d,0,0.0,1
276,"[0, 1]",l,0,0.0,3
277,"[0, 1]",r,0,0.0,2
278,"[1, 1]",r,0,0.0,2
279,"[2, 1]",d,0,8.100000000000001e-07,1
280,"[2, 2]",r,0,0.0002682,2
281,"[3, 2]",r,1,0.029701,2
282,"[0, 0]",l,0,0.0,3
283,"[0, 0]",l,0,0.0,3
284,"[0, 0]",l,0,0.0,3
285,"[0, 0]",u,0,0.0,0
286,"[0, 0]",r,0,0.0,2
287,"[1, 0]",r,0,0.0,2
288,"[2, 0]",u,0,0.0,0
289,"[2, 0]",u,0,0.0,0
290,"[2, 0]",l,0,0.0,3
291,"[1, 0]",d,0,0.0,1
292,"[1, 1]",u,0,0.0,0
293,"[1, 0]",u,0,0.0,0
294,"[1, 0]",u,0,0.0,0
295,"[1, 0]",r,0,0.0,2
296,"[2, 0]",d,0,7.290000000000002e-09,1
297,"[2, 1]",d,0,3.2157000000000004e-06,1
298,"[2, 2]",r,0,0.000532827,2
299,"[3, 2]",r,1,0.03940399,2
300,"[0, 0]",d,0,0.0,1
301,"[0, 1]",u,0,0.0,0
302,"[0, 0]",u,0,0.0,0
303,"[0, 0]",d,0,0.0,1
304,"[0, 1]",u,0,0.0,0
305,"[0, 0]",r,0,0.0,2
306,"[1, 0]",u,0,0.0,0
307,"[1, 0]",d,0,0.0,1
308,"[1, 1]",u,0,0.0,0
309,"[1, 0]",d,0,0.0,1
310,"[1, 1]",u,0,0.0,0
311,"[1, 0]",d,0,0.0,1
312,"[1, 1]",u,0,0.0,0
313,"[1, 0]",d,0,0.0,1
314,"[1, 1]",u,0,0.0,0
315,"[1, 0]",d,0,0.0,1
316,"[1, 1]",r,0,-9e-05,2
317,"[2, 1]",r,-1,-0.0199,2
318,"[0, 0]",r,0,0.0,2
319,"[1, 0]",r,0,6.561000000000002e-11,2
320,"[2, 0]",d,0,3.615840000000001e-08,1
321,"[2, 1]",d,0,7.978986000000001e-06,1
322,"[2, 2]",r,0,0.0005274987300000001,2
323,"[3, 2]",u,-1,-0.01,0
324,"[0, 0]",u,0,0.0,0
325,"[0, 0]",d,0,0.0,1
326,"[0, 1]",r,0,0.0,2
327,"[1, 1]",u,0,5.904900000000002e-13,0
328,"[1, 0]",r,0,3.903795000000001e-10,2
329,"[2, 0]",d,0,1.0760769000000003e-07,1
330,"[2, 1]",d,0,1.2646684710000003e-05,1
331,"[2, 2]",r,0,0.0008768596527000002,2
332,"[3, 2]",r,1,0.0490099501,2
333,"[0, 0]",u,0,0.0,0
334,"[0, 0]",d,0,0.0,1
335,"[0, 1]",u,0,0.0,0
336,"[0, 0]",l,0,0.0,3
337,"[0, 0]",r,0,3.513415500000001e-12,2
338,"[1, 0]",r,0,1.3549449150000004e-09,2
339,"[2, 0]",d,0,2.2035177549000005e-07,1
340,"[2, 1]",d,0,2.0411954737200002e-05,1
