,ио,об,ср,вС
"[0, 0]",-2.94E-05,-0.000582406,-2.33E-05,-2.70E-05
"[1, 0]",-2.47E-05,-1.74E-06,-0.000374663,-2.34E-05
"[0, 1]",-7.38E-06,-0.04900995,-0.000176412,-0.000175546
terminal,0,0,0,0
"[1, 1]",-7.15E-09,-0.03940399,0.003525215,-1.61E-06
"[2, 1]",1.42E-06,0.029857138,-0.0199,8.08E-07
"[2, 0]",7.04E-07,0.001681201,-0.03940399,-9.54E-07
"[2, 2]",0.0002359,1.99E-06,0.148153853,-0.0199
"[2, 3]",0.000378742,-0.0199,3.30E-05,0
"[3, 2]",-0.01,-7.94E-07,0.529413358,0.00149694
"[1, 3]",-0.01,-9.00E-05,0,0
"[3, 3]",0.007551522,-0.01,0,-8.91E-05
"[1, 4]",0,0,-0.0199,0
"[0, 3]",-0.01,0,0,0
"[0, 4]",0,0,0,0
