,ио,об,ср,вС
"[0, 0]",0,0,6.73E-05,1.68E-07
"[1, 0]",5.25E-06,1.40E-06,0.00061141,3.63E-08
"[2, 0]",3.25E-05,0.004830459,-0.029701,1.06E-09
"[1, 1]",0,-0.04900995,0.000341377,0
terminal,0,0,0,0
"[0, 1]",0,-0.029701,0,0
"[2, 1]",1.62E-05,0.030745476,-0.04900995,4.21E-07
"[2, 2]",8.90E-06,1.04E-05,0.149372446,-0.0199
"[3, 2]",-0.067934652,0,0.50016297,0.002325035
"[3, 3]",0,-0.01,0,0
"[4, 3]",0,0,0,0
"[2, 3]",0.001885126,-0.01,0,0
"[1, 3]",-0.01,0,0,0
"[0, 3]",-0.0199,0,0,0
"[1, 4]",0,0,-0.01,0
