,state,action_space,reward,Q,action
5923,"[1, 0]",l,0,-4.185477096910565e-05,3
5924,"[0, 0]",r,0,-4.843943212643891e-05,2
5925,"[1, 0]",r,0,-5.602339709512255e-05,2
5926,"[2, 0]",l,0,-1.2364278994967808e-05,3
5927,"[1, 0]",l,0,-4.1872178148552545e-05,3
5928,"[0, 0]",r,0,-4.833188740851149e-05,2
5929,"[1, 0]",l,0,-4.188844335374363e-05,3
5930,"[0, 0]",r,0,-4.822556452461007e-05,2
5931,"[1, 0]",l,0,-4.1903589000927684e-05,3
5932,"[0, 0]",r,0,-4.812044118037232e-05,2
5933,"[1, 0]",l,0,-4.1917637081541756e-05,3
5934,"[0, 0]",r,0,-4.8016495502302474e-05,2
5935,"[1, 0]",l,0,-4.490085802034398e-05,3
5936,"[0, 0]",d,0,-0.000374423750352763,1
5937,"[0, 1]",u,0,-1.8037240890032768e-05,0
5938,"[0, 0]",r,0,-4.792719281112238e-05,2
5939,"[1, 0]",u,0,-4.3385711286564924e-05,0
5940,"[1, 0]",u,0,-4.334232557527836e-05,0
5941,"[1, 0]",u,0,-4.3298983249703084e-05,0
5942,"[1, 0]",u,0,-4.325568426645338e-05,0
5943,"[1, 0]",u,0,-4.3212428582186924e-05,0
5944,"[1, 0]",u,0,-4.316921615360474e-05,0
5945,"[1, 0]",u,0,-4.312604693745113e-05,0
5946,"[1, 0]",u,0,-4.308292089051368e-05,0
5947,"[1, 0]",u,0,-4.303983796962317e-05,0
5948,"[1, 0]",u,0,-4.299679813165354e-05,0
5949,"[1, 0]",u,0,-4.2953801333521884e-05,0
5950,"[1, 0]",u,0,-4.291084753218836e-05,0
5951,"[1, 0]",u,0,-4.286793668465617e-05,0
5952,"[1, 0]",u,0,-4.282506874797151e-05,0
5953,"[1, 0]",u,0,-4.278224367922354e-05,0
5954,"[1, 0]",u,0,-4.2739461435544314e-05,0
5955,"[1, 0]",u,0,-4.269672197410877e-05,0
5956,"[1, 0]",u,0,-4.265402525213466e-05,0
5957,"[1, 0]",u,0,-4.261137122688253e-05,0
5958,"[1, 0]",u,0,-4.256875985565565e-05,0
5959,"[1, 0]",u,0,-4.252619109579999e-05,0
5960,"[1, 0]",u,0,-4.248366490470419e-05,0
5961,"[1, 0]",u,0,-4.2441181239799484e-05,0
5962,"[1, 0]",u,0,-4.2398740058559684e-05,0
5963,"[1, 0]",u,0,-4.2356341318501124e-05,0
5964,"[1, 0]",u,0,-4.231398497718262e-05,0
5965,"[1, 0]",u,0,-4.227167099220544e-05,0
5966,"[1, 0]",u,0,-4.2229399321213233e-05,0
5967,"[1, 0]",u,0,-4.218716992189202e-05,0
5968,"[1, 0]",u,0,-4.214498275197013e-05,0
5969,"[1, 0]",u,0,-4.6191837035681725e-05,0
5970,"[1, 0]",d,0,-0.0004916017419663695,1
5971,"[1, 1]",u,0,-1.0115978124154961e-05,0
5972,"[1, 0]",l,0,-4.4883194175440636e-05,3
5973,"[0, 0]",r,0,-4.785186963059012e-05,2
5974,"[1, 0]",l,0,-4.4865029060361544e-05,3
5975,"[0, 0]",r,0,-4.777713619582747e-05,2
5976,"[1, 0]",l,0,-4.4892205717402954e-05,3
5977,"[0, 0]",l,0,-5.277095846671542e-05,3
5978,"[0, 0]",r,0,-4.7703394685325825e-05,2
5979,"[1, 0]",l,0,-4.487261421239686e-05,3
5980,"[0, 0]",r,0,-4.763021426638414e-05,2
5981,"[1, 0]",l,0,-4.489882669647333e-05,3
5982,"[0, 0]",l,0,-5.267192081044572e-05,3
5983,"[0, 0]",r,0,-4.755800156398856e-05,2
5984,"[1, 0]",l,0,-4.48778604435845e-05,3
5985,"[0, 0]",r,0,-4.748632229234093e-05,2
5986,"[1, 0]",l,0,-4.485645873977972e-05,3
5987,"[0, 0]",r,0,-4.741516719807554e-05,2
5988,"[1, 0]",l,0,-4.4834630657164605e-05,3
5989,"[0, 0]",r,0,-4.734452720200927e-05,2
5990,"[1, 0]",l,0,-4.481238509541104e-05,3
5991,"[0, 0]",r,0,-4.7274393395847875e-05,2
5992,"[1, 0]",l,0,-4.478973078501956e-05,3
5993,"[0, 0]",r,0,-4.720475703895457e-05,2
5994,"[1, 0]",l,0,-4.481588076446338e-05,3
5995,"[0, 0]",l,0,-5.2570044415691854e-05,3
5996,"[0, 0]",r,0,-4.71360523954452e-05,2
5997,"[1, 0]",l,0,-4.479194642837775e-05,3
5998,"[0, 0]",r,0,-4.7067819389346144e-05,2
5999,"[1, 0]",l,0,-4.476763733859809e-05,3
6000,"[0, 0]",r,0,-4.700004993150007e-05,2
6001,"[1, 0]",l,0,-4.474296141459561e-05,3
6002,"[0, 0]",r,0,-4.6932736084916426e-05,2
6003,"[1, 0]",l,0,-4.4717926425213906e-05,3
6004,"[0, 0]",r,0,-4.686587006189419e-05,2
6005,"[1, 0]",l,0,-4.469253999151882e-05,3
6006,"[0, 0]",r,0,-4.679944422119891e-05,2
6007,"[1, 0]",l,0,-4.466680958959442e-05,3
6008,"[0, 0]",r,0,-4.673345106529327e-05,2
6009,"[1, 0]",l,0,-4.464074255328612e-05,3
6010,"[0, 0]",r,0,-4.6667883237619916e-05,2
6011,"[1, 0]",l,0,-4.461434607689184e-05,3
6012,"[0, 0]",r,0,-4.660273351993574e-05,2
6013,"[1, 0]",l,0,-4.458762721780234e-05,3
6014,"[0, 0]",r,0,-4.664091675859249e-05,2
6015,"[1, 0]",r,0,-5.557444163512603e-05,2
6016,"[2, 0]",l,0,-1.2641924849978351e-05,3
6017,"[1, 0]",l,0,-4.456151919645165e-05,3
6018,"[0, 0]",r,0,-4.657556126377463e-05,2
6019,"[1, 0]",l,0,-4.453508405586111e-05,3
6020,"[0, 0]",r,0,-5.053422132883421e-05,2
6021,"[1, 0]",d,0,-0.0004867767683498232,1
6022,"[1, 1]",u,0,-1.0415634099416163e-05,0
6023,"[1, 0]",l,0,-4.4544541207262e-05,3
6024,"[0, 0]",r,0,-5.042977998641122e-05,2
6025,"[1, 0]",l,0,-4.455296381506708e-05,3
6026,"[0, 0]",r,0,-5.0326458860882714e-05,2
6027,"[1, 0]",l,0,-4.456037230666435e-05,3
6028,"[0, 0]",r,0,-5.0224237623033865e-05,2
6029,"[1, 0]",l,0,-4.4566786722205014e-05,3
6030,"[0, 0]",r,0,-5.0123096327303374e-05,2
6031,"[1, 0]",l,0,-4.457222672192869e-05,3
6032,"[0, 0]",r,0,-5.0023015404527695e-05,2
6033,"[1, 0]",l,0,-4.457671159335016e-05,3
6034,"[0, 0]",r,0,-4.992397565482257e-05,2
6035,"[1, 0]",l,0,-4.458026025831006e-05,3
6036,"[0, 0]",r,0,-4.982595824059913e-05,2
6037,"[1, 0]",l,0,-4.458289127989235e-05,3
6038,"[0, 0]",r,0,-4.972894467971217e-05,2
6039,"[1, 0]",l,0,-4.458462286921084e-05,3
6040,"[0, 0]",r,0,-4.963291683873795e-05,2
6041,"[1, 0]",l,0,-4.458547289206737e-05,3
6042,"[0, 0]",r,0,-4.953785692637918e-05,2
6043,"[1, 0]",l,0,-4.458545887548411e-05,3
6044,"[0, 0]",r,0,-5.3423469272263795e-05,2
6045,"[1, 0]",d,0,-0.0004820027413732197,1
6046,"[1, 1]",u,0,-1.0811647733138134e-05,0
6047,"[1, 0]",r,0,-5.5132474542424575e-05,2
6048,"[2, 0]",l,0,-1.2916774731357924e-05,3
6049,"[1, 0]",l,0,-4.461225411741694e-05,3
6050,"[0, 0]",u,0,-5.2464131206331916e-05,0
6051,"[0, 0]",u,0,-5.241166707512558e-05,0
6052,"[0, 0]",u,0,-5.23683616278247e-05,0
6053,"[0, 0]",r,0,-5.329074486659791e-05,2
6054,"[1, 0]",l,0,-4.4639261975984e-05,3
6055,"[0, 0]",l,0,-5.251565922618536e-05,3
6056,"[0, 0]",u,0,-5.2315993266196874e-05,0
6057,"[0, 0]",u,0,-5.2263677272930675e-05,0
6058,"[0, 0]",u,0,-5.221141359565774e-05,0
6059,"[0, 0]",u,0,-5.215920218206208e-05,0
6060,"[0, 0]",u,0,-5.210704297988002e-05,0
6061,"[0, 0]",u,0,-5.205493593690014e-05,0
