,state,action_space,reward,Q,action
479,"[2, 2]",r,0,0.027325503721933604,2
480,"[3, 2]",r,1,0.23765728565289626,2
481,"[0, 0]",d,0,3.183860787691554e-07,1
482,"[0, 1]",r,0,8.896391706640259e-06,2
483,"[1, 1]",r,0,0.00019394483680395576,2
484,"[2, 1]",d,0,0.002592530598833926,1
485,"[2, 2]",r,0,0.029191164255590336,2
486,"[3, 2]",r,1,0.2452807127963673,2
487,"[0, 0]",d,0,3.952697433412262e-07,1
488,"[0, 1]",r,0,1.0552931320809458e-05,2
489,"[1, 1]",r,0,0.00021533816382542152,2
490,"[2, 1]",d,0,0.0028293257711459,1
491,"[2, 2]",r,0,0.031106779028201737,2
492,"[3, 2]",r,1,0.25282790566840363,2
493,"[0, 0]",d,0,4.862934277950991e-07,1
494,"[0, 1]",r,0,1.2385445482030157e-05,2
495,"[1, 1]",r,0,0.0002386487141274804,2
496,"[2, 1]",d,0,0.0030809935246882566,1
497,"[2, 2]",r,0,0.03307116238893535,2
498,"[3, 2]",r,1,0.26029962661171957,2
499,"[0, 0]",d,0,5.928995028554196e-07,1
500,"[0, 1]",r,0,1.4409429454357178e-05,2
501,"[1, 1]",r,0,0.0002639911687083999,2
502,"[2, 1]",d,0,0.003347824050941792,1
503,"[2, 2]",r,0,0.03508314740455147,2
504,"[3, 2]",r,1,0.26769663034560237,2
505,"[0, 0]",d,0,7.166553729160801e-07,1
506,"[0, 1]",r,0,1.6641255678189204e-05,2
507,"[1, 1]",u,0,7.090308032695904e-11,0
508,"[1, 0]",r,0,4.109754915320274e-08,2
509,"[2, 0]",d,0,3.379321959337223e-05,1
510,"[2, 1]",d,0,0.0036300941370733374,1
511,"[2, 2]",r,0,0.03714158560361638,2
512,"[3, 2]",r,1,0.27501966404214634,2
513,"[0, 0]",d,0,8.592601202906221e-07,1
514,"[0, 1]",r,0,1.8850763639782912e-05,2
515,"[1, 1]",r,0,0.0002940221042549759,2
516,"[2, 1]",d,0,0.003928067466135152,1
517,"[2, 2]",r,0,0.03924534672395953,2
518,"[3, 2]",r,1,0.28226946740172487,2
519,"[0, 0]",l,0,7.733341082615598e-09,3
520,"[0, 0]",d,0,1.020324391845762e-06,1
521,"[0, 1]",r,0,2.1308454941679865e-05,2
522,"[1, 1]",r,0,0.0003264344904076425,2
523,"[2, 1]",d,0,0.004241994911989436,1
524,"[2, 2]",r,0,0.04139331846333546,2
525,"[3, 2]",r,1,0.28944677272770764,2
526,"[0, 0]",d,0,1.2018972424024233e-06,1
527,"[0, 1]",r,0,2.403328080593185e-05,2
528,"[1, 1]",r,0,0.000361348099711471,2
529,"[2, 1]",d,0,0.0045721148290395605,1
530,"[2, 2]",u,0,4.114903346135604e-05,0
531,"[2, 1]",d,0,0.004898933546919184,1
532,"[2, 2]",r,0,0.04358440623325147,2
533,"[3, 2]",r,1,0.29655230500043056,2
534,"[0, 0]",d,0,1.4061777972317857e-06,1
535,"[0, 1]",u,0,1.2671986420984902e-08,0
536,"[0, 0]",d,0,1.6084155465128545e-06,1
537,"[0, 1]",r,0,2.704508089527577e-05,2
538,"[1, 1]",d,-1,-0.029701,1
539,"[0, 0]",d,0,1.835737119105208e-06,1
540,"[0, 1]",r,0,3.0026762983726255e-05,2
541,"[1, 1]",r,0,0.000401825020636629,2
542,"[2, 1]",d,0,0.0052422038675492555,1
543,"[2, 2]",r,0,0.04581753291592283,2
544,"[3, 2]",r,1,0.30358678195042627,2
545,"[0, 0]",d,0,2.0876206147676924e-06,1
546,"[0, 1]",r,0,3.334292053961865e-05,2
547,"[1, 1]",r,0,0.000444986605238206,2
548,"[2, 1]",d,0,0.005602139625117068,1
549,"[2, 2]",r,0,0.04809163862431744,2
550,"[3, 2]",r,1,0.310550914130922,2
551,"[0, 0]",d,0,2.3668306934765833e-06,1
552,"[0, 1]",r,0,3.701437078136632e-05,2
553,"[1, 1]",r,0,0.0004909559958118776,2
554,"[2, 1]",d,0,0.005978942976484754,1
555,"[2, 2]",r,0,0.05040568046525256,2
556,"[3, 2]",r,1,0.31744540498961277,2
557,"[0, 0]",d,0,2.6762917235741145e-06,1
558,"[0, 1]",r,0,4.1062831035859554e-05,2
559,"[1, 1]",r,0,0.0005398569226421216,2
560,"[2, 1]",d,0,0.00637280467090718,1
561,"[2, 2]",r,0,0.05275863230550655,2
562,"[3, 2]",r,1,0.32427095093971664,2
