,0,1,2,3
"[0, 0]",-1.528303313803357e-05,-0.0005095231989673806,4.8842635101280286e-05,-1.7214408741188728e-05
"[0, 1]",-7.811441768306181e-06,-0.058519850599,-5.481840408922378e-06,-0.0002673101400887727
terminal,0.0,0.0,0.0,0.0
"[1, 0]",-1.2261518471382575e-05,-5.9765069570769516e-05,0.0007176057308123645,-2.0776144812585428e-05
"[1, 1]",-5.5474196341770226e-06,-0.0199,-5.9613241111838015e-05,-0.00043495036506177446
"[2, 1]",6.966353406486126e-05,0.034322519643090715,-0.03940399,-1.298097229604025e-07
"[2, 0]",5.159567972894571e-06,0.005248022211380625,-0.0199,-1.0473204022320451e-07
"[2, 2]",7.273025527466e-05,0.0,0.15190110295386447,-0.01
"[2, 3]",0.001157756313778538,-0.01,0.0,0.0
"[3, 3]",0.016357184791288146,-0.01,0.0,0.0
"[3, 2]",-0.01,0.00018685439975494792,0.5479563497335244,0.0013614647545833424
"[1, 3]",-0.01,0.0,0.0,0.0
"[0, 3]",-0.01,0.0,0.0,0.0
"[4, 3]",0.0,-0.01,0.0,0.0
