,state,action_space,reward,Q,action
0,"[0, 0]",u,0,0.0,0
1,"[0, 0]",r,0,0.0,2
2,"[1, 0]",l,0,0.0,3
3,"[0, 0]",d,0,0.0,1
4,"[0, 1]",d,-1,-0.01,1
5,"[0, 0]",l,0,0.0,3
6,"[0, 0]",d,0,0.0,1
7,"[0, 1]",u,0,0.0,0
8,"[0, 0]",r,0,0.0,2
9,"[1, 0]",u,0,0.0,0
10,"[1, 0]",l,0,0.0,3
11,"[0, 0]",l,0,0.0,3
12,"[0, 0]",d,0,0.0,1
13,"[0, 1]",l,0,0.0,3
14,"[0, 1]",r,0,0.0,2
15,"[1, 1]",l,0,0.0,3
16,"[0, 1]",r,0,0.0,2
17,"[1, 1]",r,0,0.0,2
18,"[2, 1]",u,0,0.0,0
19,"[2, 0]",d,0,0.0,1
20,"[2, 1]",l,0,0.0,3
21,"[1, 1]",d,-1,-0.01,1
22,"[0, 0]",d,0,0.0,1
23,"[0, 1]",l,0,0.0,3
24,"[0, 1]",u,0,0.0,0
25,"[0, 0]",u,0,0.0,0
26,"[0, 0]",r,0,0.0,2
27,"[1, 0]",u,0,0.0,0
28,"[1, 0]",r,0,0.0,2
29,"[2, 0]",r,-1,-0.01,2
30,"[0, 0]",u,0,0.0,0
31,"[0, 0]",u,0,0.0,0
32,"[0, 0]",l,0,0.0,3
33,"[0, 0]",d,0,0.0,1
34,"[0, 1]",u,0,0.0,0
35,"[0, 0]",d,0,0.0,1
36,"[0, 1]",l,0,0.0,3
37,"[0, 1]",l,0,0.0,3
38,"[0, 1]",u,0,0.0,0
39,"[0, 0]",l,0,0.0,3
40,"[0, 0]",u,0,0.0,0
41,"[0, 0]",l,0,0.0,3
42,"[0, 0]",l,0,0.0,3
43,"[0, 0]",u,0,0.0,0
44,"[0, 0]",u,0,0.0,0
45,"[0, 0]",r,0,0.0,2
46,"[1, 0]",l,0,0.0,3
47,"[0, 0]",r,0,0.0,2
48,"[1, 0]",d,0,0.0,1
49,"[1, 1]",r,0,0.0,2
50,"[2, 1]",l,0,0.0,3
51,"[1, 1]",u,0,0.0,0
52,"[1, 0]",r,0,0.0,2
53,"[2, 0]",l,0,0.0,3
54,"[1, 0]",l,0,0.0,3
55,"[0, 0]",d,0,0.0,1
56,"[0, 1]",l,0,0.0,3
57,"[0, 1]",l,0,0.0,3
